"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","26 Oct 2020","Great Experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW37615267.htm","Account manager","Current contractor, less than 1 year","Great Company for career enhancement as well as a great place to learn. Good work life balance.","No cons as per my experience","Show more"
"4.0","7 Nov 2020","It’s quite good experience and learning","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW38088701.htm","Anonymous employee","Former employee, more than 1 year","Better Learning experience with good HR polices","There is No work life balance","Show more"
"3.0","3 Dec 2020","Very good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW39020285.htm","Customer care executive","Former employee, less than 1 year","Bharti Airtel co operate with their employees and always look forward to help their employees to make a good carrier","There is lot of pressure","Show more"
"4.0","21 Dec 2020","Field Network Engineer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW39667501.htm","Radio frequency engineer","Former employee, more than 1 year","Good Company, Daily learn new things, All Employers are trustworthy and co-friendly. Great Campus etc..","1) Field Work
2) Salary Package is quite Low","Show more"
"5.0","25 Jan 2021","Sales Manager -","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW41362376.htm","Senior zonal sales manager","Former employee, more than 5 years","","",""
"2.0","1 Feb 2021","Worst work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW41735974.htm","Field engineer","Former employee, less than 1 year","there nothing to tell about airtel good morning my love and hugs to you and your family welcomes you to you","My bad luck working Airtel","Show more"
"4.0","16 Feb 2021","Frond end developer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW42551588.htm","Software engineer","Former employee, more than 1 year","1) Nice perks
2) product based","1) some times u need to work at night for deliverables","Show more"
"5.0","17 Feb 2021","Managers are supportive","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW42623790.htm","Account manager","Current employee, more than 1 year","Salary on time Supportive trainers Good environment","No cons everything is perfect A lack of communication","Show more"
"5.0","4 Mar 2021","Great place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW43483745.htm","Vas manager","Former employee, more than 3 years","","",""
"4.0","24 Mar 2021","Not very exciting place to be","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW44532440.htm","Senior product manager","Former employee, more than 1 year","","",""
"3.0","19 Apr 2021","Company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45760400.htm","Customer service representative","Former employee, more than 1 year","Good working environment where someone can learn new things","The salaries are very low and no health benefits","Show more"
"3.0","2 Jun 2021","It's good working culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW47828482.htm","Account manager","Current employee, more than 1 year","Support form senior
 Work as team","Work pressure is too much , target should meet","Show more"
"5.0","25 Jun 2021","This is the best company in telecom","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW48928357.htm","Customer service representative","Current employee, more than 5 years","Here work on performance based","Area down when fiber cut","Show more"
"4.0","22 Oct 2021","Product Management & Partnerships Cyber Security at Airtel Business","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54337206.htm","Senior product manager","Current employee, less than 1 year","Culture is good, Freindly enviorment.","Nothing, since i am new Joinee","Show more"
"5.0","13 Nov 2021","Great culture, lots of growth, flexible","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55303317.htm","Assistant manager","Current employee, more than 3 years","Great culture, lots of growth, flexible and work life balancing.
Hierarchy is helpful for organization.","No negatives come to mind","Show more"
"5.0","13 Nov 2021","Best Place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55323702.htm","Key account manager","Current employee, less than 1 year","1. Good working Environment
2. Good Work life balance
3. Many growth opportunities","1. Too many processes but that might get resolved soon","Show more"
"5.0","27 Nov 2021","Bharti Airtel Ltd-account manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55924315.htm","Account manager","Current employee","Working culture flexible time personal growth.","No cons as of now","Show more"
"5.0","16 Dec 2021","Right place for the person with growth mindset","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW56759115.htm","Dgm sales","Current employee, less than 1 year","approach to market, performance driven culture, Opportunity to lead and grow","None observed as of now","Show more"
"5.0","26 Dec 2021","Bharti Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57084804.htm","Administrative assistant","Former employee","My future base Indian MNC","ocean of learning that never ends","Show more"
"5.0","5 Jan 2022","Presently good telecom company in india","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57472857.htm","Executive","Former employee, more than 1 year","","",""
"4.0","5 Jan 2022","A place for growth","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57484970.htm","Anonymous intern","Former intern","Incredible opportunities for growth of an individual.","Meeting tasks at short deadlines.","Show more"
"5.0","7 Jan 2022","Awesome experience in bharti airtel limited","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57559871.htm","Teritory sales manager","Current employee, less than 1 year","1. Working culture
2. Supporting colleagues and managers 
3. Employee benefits","So far I have had no problem working","Show more"
"5.0","7 Jan 2022","Well Organization and Ethical company.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57566861.htm","Territory sales manager (tsm)","Current employee, more than 8 years","Employee friendly organisation.
Good working environment and leaders.
Good work culture for employees.","As telco little work life balance is hampered.","Show more"
"5.0","12 Jan 2022","Senior Software Engineer In Test","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57789791.htm","Senior software qa engineer","Current employee, less than 1 year","Good technology to learn .
Nice pay.
Good work life balance .
Good Hike.","i do not have any cons as of now.","Show more"
"5.0","12 Jan 2022","Sales Marketing","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57845902.htm","Assistant manager","Current employee, more than 10 years","Airtel is family company airtel always care Taking Of Every Employee n His Family","There is no down times","Show more"
"5.0","13 Jan 2022","Great experience to work under organitation","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57908679.htm","Team lead","Current employee, more than 3 years","Airtel provide a chance to enhance skill development in professional and personal development.","I found nothing negative about Airtel.","Show more"
"3.0","16 Jan 2022","Review of bharti airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW58008626.htm","Anonymous intern","Former intern","","",""
"1.0","20 Jun 2012","Good Better.... Worst","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1624805.htm","Process owner","Current employee, more than 5 years","Market Leadership, International Presence, Strong Financials","No Work Culture, Totally Sales Biased Management, Current Scenario - Ali Baba Chalis Chor","Show more"
"5.0","26 Jun 2012","Bharti Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1652134.htm","Senior manager","Current employee, more than 10 years","","",""
"4.0","26 Aug 2012","Its very pleasure to work there","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1886693.htm","Senior corp sales","Current employee, more than 1 year","There is no boss all are equal","there is no down sides woking with airtel","Show more"
"5.0","26 Dec 2012","Excellent place to work,past faced challenging work culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW2231362.htm","Human resources executive","Former employee, more than 3 years","Happening place
Innnovative thinking
Leadership qualities
Know for customer centric approach
cross functional knowlege sharing","Too fast in changing strategy
Workload","Show more"
"4.0","18 Mar 2013","Nice company for freshers","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW2476572.htm","Senior network support engineer","Former employee, more than 1 year","","",""
"4.0","25 Sept 2013","Excellent company and work culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW3098066.htm","Engineer","Former intern, less than 1 year","","",""
"4.0","10 Jan 2014","Three Years working Experience with Bharti Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW3515970.htm","Senior sales executive","Current employee, more than 3 years","Bharti airtel India No-1 Telecom Company","No any Support with front line Employee","Show more"
"3.0","30 Jun 2014","Amazing","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4494555.htm","Anonymous employee","Former employee, more than 5 years","best facilities, freedom to employees, easy workbalance","No growth plans, unprofessional, unfriendly policies","Show more"
"4.0","5 Jul 2014","High speed work environment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4526146.htm","General manager","Current employee, more than 3 years","Good experience, innovative, focus on financials","Individual centric work culture. Less organized way of working","Show more"
"1.0","4 Feb 2015","Suicide","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW5852421.htm","Anonymous employee","Current employee, more than 3 years","Exposure. Learning. Fast. Ahead in the industry. Good office facilities.","Negative work environment. Bureaucratic working culture. Useless HR practices. Bad compensations for years despite strong company financial health. Processes - but only on paper. Top mgmt driven - no empowerment to others. Not growth oriented - even for good / hard workers. Poor work life balance.","Show more"
"3.0","18 Aug 2015","airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW7624800.htm","Anonymous employee","Former employee","best of the worst in teleco","lost its way a few years ago","Show more"
"4.0","11 Sept 2015","best place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW7912676.htm","Dgm","Former employee, more than 3 years","best boss best team best working culture","If you want find back office","Show more"
"4.0","5 Feb 2016","B2B Data Collection Head","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW9465562.htm","Senior manager","Former employee, more than 1 year","","",""
"3.0","8 Jul 2016","presales","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11171262.htm","Presales","Current employee, more than 5 years","employee friendly, good company to work with","too much structural changes, internal employees need to be given more development oppurtunities","Show more"
"4.0","26 Jul 2016","Stock Accountant","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11358304.htm","Stock accountant","Current employee, more than 1 year","Champion of Diversity. Airtel anticipates adapts and deliver solutions that enrich the community","Outsourcing Model impacts control of core services","Show more"
"2.0","25 Aug 2016","Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11691871.htm","Senior executive","Current employee, more than 1 year","A good exposure to large Data bases","too much of internal politics.","Show more"
"3.0","5 Sept 2016","Revenue Planning Analyst","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11806265.htm","Anonymous contractor","Current contractor, more than 1 year","Great place, great people. Good place to start ones career","ca be stingy on little things","Show more"
"4.0","5 Sept 2016","Customer Service Representative","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11806384.htm","Customer service representative","Former employee, more than 5 years","one of the best reason working with Bharti is their staff warefare.","delay in promotion and team bonding","Show more"
"4.0","27 Sept 2016","Zonal Sales Manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW12091828.htm","Zonal sales manager","Current employee, more than 5 years","Great place to grow a sales career","Ever changing sales distribution strategies","Show more"
"2.0","14 Jan 2017","Not Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW13320093.htm","Network engineer","Current employee, less than 1 year","Simple Future growth and good knowledge.","Network check and speed issue in complaining area.","Show more"
"1.0","20 Feb 2017","Senior Manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW13868378.htm","Anonymous employee","Former employee","Flexible working hours.excellent work environment and very friendly workmates.","No promotional structure. Upward movement based on what your boss thinks and not merits. People holding positions that they have no idea what the role requires.","Show more"
"3.0","26 Jul 2018","Learning experience but too much work load","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW21669987.htm","Assistant manager","Current employee, less than 1 year","","",""
"3.0","9 Oct 2018","Not a bad place for internship","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW22877141.htm","Anonymous employee","Current employee","","",""
"3.0","2 Nov 2018","Fast paced, non-employee friendly company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW23241002.htm","General manager","Former employee, more than 8 years","Fast Paced, goo brand name","No Job Security
Ruthless and non employee friendly company","Show more"
"5.0","17 Dec 2018","Best work place","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW23874297.htm","Anonymous employee","Current employee","","",""
"1.0","11 Apr 2019","A Complete Nightmare","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW25629178.htm","Senior software engineer","Former employee, less than 1 year","Salaries are good. I can’t think of any other good thing.","Highly chaotic and mismanaged environment.
Extremely rude and unprofessional people.
Zero work life balance. 
No processes, people do what they want.
No perks whatsoever.","Show more"
"4.0","25 Apr 2019","Great Exposure","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW25840151.htm","Finance executive","Current employee, less than 1 year","Facilities in the office are really good.

Great exposure to learn things

Supportive environment","Laid back attitude of the management.
Lack of proper decision making intent.","Show more"
"4.0","4 Jun 2019","Nice company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW26480475.htm","Tsm","Current employee, more than 3 years","Hr policy is good , and opportunity to learn.","Daily sales pressure, hectic schedule","Show more"
"3.0","13 Jun 2019","Intern review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW27279649.htm","Anonymous intern","Former intern","Good care of interns by HR team","Some mangers are not interested in internship evaluation","Show more"
"4.0","2 Jul 2019","Great Company for learning","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW27757012.htm","Senior software engineer","Current employee, more than 3 years","The company is great for learning. 
Open to different technologies.
Nice Culture
work life balance","Not much as of now. Focus on pros.","Show more"
"2.0","18 Jul 2019","Worst management","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW28090951.htm","Anonymous employee","Current employee, more than 5 years","Salary credited on time .. only good factor","worst management ever ... full of  politics","Show more"
